data_source,threshold,min_num,run_times,csi_time,my_method_time,mean_error,max_error
Two_Patterns_TRAIN.csv[509],0.02,4,10,0.31988799999999173,0.1013550000000123,1.0100043268232378e-09,3.117233829400722e-08
Two_Patterns_TRAIN.csv[510],0.02,4,10,0.31810899999999265,0.10079600000000255,2.1072251165538855e-09,1.4441124510148031e-07
Two_Patterns_TRAIN.csv[511],0.02,4,10,0.32025399999997717,0.09896600000001854,2.0114584702854915e-09,4.007365859038181e-08
Two_Patterns_TRAIN.csv[512],0.02,4,10,0.32002699999998185,0.11787499999996953,1.1297824509495502e-09,2.906894945514324e-08
Two_Patterns_TRAIN.csv[513],0.02,4,10,0.3212520000000154,0.115854000000013,1.2730901019605273e-09,4.366819807034381e-08
Two_Patterns_TRAIN.csv[514],0.02,4,10,0.3293120000000158,0.10762699999997949,4.0207783247407454e-10,1.0510592385815763e-08
Two_Patterns_TRAIN.csv[515],0.02,4,10,0.3268030000000408,0.09751600000004146,4.588355253007636e-09,3.720706367174113e-07
Two_Patterns_TRAIN.csv[516],0.02,4,10,0.32623399999999947,0.11907100000001947,5.400215641156072e-10,1.1760950988542807e-08
Two_Patterns_TRAIN.csv[517],0.02,4,10,0.3248389999999972,0.11949099999998225,3.934785991864581e-09,3.282387159097196e-07
Two_Patterns_TRAIN.csv[518],0.02,4,10,0.32204699999999775,0.16792700000002014,1.2061206193827417e-09,4.556372525299668e-08
Two_Patterns_TRAIN.csv[519],0.02,4,10,0.32113899999995965,0.15385600000001887,1.5507585101798865e-09,7.640304955743228e-08
Two_Patterns_TRAIN.csv[520],0.02,4,10,0.3331160000000182,0.13162399999998797,1.8334428748645036e-09,1.1874720981165446e-07
Two_Patterns_TRAIN.csv[521],0.02,4,10,0.32710099999997055,0.09370300000000498,8.97697340387213e-10,2.0643760178341443e-08
Two_Patterns_TRAIN.csv[522],0.02,4,10,0.32448999999996886,0.12119899999999006,1.4749425922634609e-09,6.132424718244651e-08
Two_Patterns_TRAIN.csv[523],0.02,4,10,0.32285300000000916,0.10971699999998918,1.7332535721699025e-09,6.115455020736591e-08
Two_Patterns_TRAIN.csv[524],0.02,4,10,0.329234999999926,0.10256799999990562,1.0871563076777685e-09,1.8991080322569122e-08
Two_Patterns_TRAIN.csv[525],0.02,4,10,0.32624299999997675,0.09842900000001009,1.8959866741723015e-09,1.0766735288454028e-07
